wallet_id,aggregated_lp_score,total_deposit_all_time,score_per_dollar
0x00819eb70be2aecee2915ed76f9bb6ca2cfbd390,52.0,0.0,52.0
0x0077a0eae57c0e6d73acd6ddff0205995687ccd6,496.0,104.34667530485032,4.708264390543737
0x004e926e200f6761934b0377e490a5b974ca3788,477.0,112.29048011485304,4.210415557568659
0x00e3c0917baa75e7ab5f3be9ef739d07f45b7dd4,362.0,142.70997710617866,2.518962199350571
0x00b62582ca285c4234a36218281eaf88eda9cfc5,50.0,0.0,50.0
0x0031ec7d6aaf891a4427c39c0863db6b7d5b8e3d,56.0,0.0,56.0
0x011131c3d5ef8308ec3eab15f7c1863c69f4a4c3,56.0,0.0,56.0
0x01de494230b03989f9a2d8956fdfe5486d712ebf,65.55,0.0,65.55
0x001795aefa853c2b0a30cd0a43885695a6cdbd7d,512.0,185.11968604203776,2.750918029618627
0x00dde8eed75884f3793bf49b40df36488d5fef2f,59.8,0.0,59.8
0x0100a6e67f6abc0c452395eeca488c51b976b516,50.6,0.0,50.6
0x001cf7314cb75d19341a7f58d5db67205b2e5bea,490.45,179.43495579941262,2.718154017480002
0x019ee51c92802065c935dcb8f793016ec31e1e55,93.15,0.0,93.15
0x0076fe33d135a1ab71845530cfe3898f9094e500,251.6,100.08525878889164,2.4889880385570975
0x008256329d7f1eaeead40d5705e6db236452f6fc,57.0,0.0,57.0
0x004fc16bdc6f73b1ae316e9cad5f3b20bce631fb,51.0,0.0,51.0
0x001ff3e27752f458ce65225f7fe5804558f8f5b7,592.0,199.94107544561945,2.9461373125785455
0x001d9f0c3b75faf962b891b654ec9e57ab0702fe,100.0,0.0,100.0
0x00677b7e83c68fef37e64dfc32d35194b53b0a9a,84.0,0.0,84.0
0x010c5d8cf8f1d6bd2c2306ea3210c469e67bbd52,290.0,137.9751771650977,2.0867035820036413
0x00e773567bcb92144e4b18756f17376701cd4374,314.0,105.57155307769374,2.946377254829766
0x006929f17a092110b71c495883c53673c2f4ff3d,64.0,0.0,64.0
0x009a43f66d39da44eaecd301ea15e308e0b0c4b3,480.25,116.94347264003784,4.071865862943663
0x00357027db905b2d04765c7d46a82b61f983aa53,220.15,101.0517930187943,2.1572379424970634
0x001b1e09360cdcc6ed239bea65ad038b19b5a4cc,64.16,0.0,64.16
0x01a62222ed470ee0a8d66349a08212fa478300fc,56.0,0.0,56.0
0x00e3fda79dd9a8858eed392922c41f59ea947bfd,511.0,199.5887924746989,2.5475002551025105
0x016aaa4f8061324f75bd585d1ae377238cef4186,65.0,0.0,65.0
0x00d1a56b5b9b1369c76376b26078a25df54b0000,736.0,193.0866167088041,3.7921213346938303
0x009f441f07226294f225cdfa10c272dce8017a58,60.0,0.0,60.0
0x00409fc839a2ec2e6d12305423d37cd011279c09,630.0,230.0399194477411,2.7268015047178875
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,58.65,0.0,58.65
0x015aa3f2d7e70a70d1b06970e73372b3ba183403,230.0,104.9852663792454,2.1701129586917736
0x02062d31f0ab2557a6674d5702ce2ce0a1be9d05,110.0,0.0,110.0
0x019f5ccfcd559d368148188fb693b4e6a89fd4f0,48.0,0.0,48.0
0x021502a71f1ed419b93b8ae96290a49221b0e945,59.0,0.0,59.0
0x01e3e38199f722375bba2fac1fec4f2320108ef5,630.0,148.215574487316,4.222079378540696
0x01a2b6c749b778053bc81551e23675f0aee641dc,62.1,0.0,62.1
0x012db66110d211e5aa15171b15265384f22fd1de,62.1,0.0,62.1
0x01f4aa373453409de6456505e3b96205adb5d305,79.0,0.0,79.0
0x02b860783d1957f9dc0870185b8bf7714eed9604,578.0,123.74984421512124,4.633272318988108
0x027943f870442fe48f51a5e29d215f181b5f9e7d,100.0,0.0,100.0
0x01fa529ef7c3cabc3eb0549e937454ec9255f6c3,59.0,0.0,59.0
0x02efc0988b8a7c94d06156842d61b9de4134af4e,52.56,0.0,52.56
0x02ce06d2c20d76b575e2b256d8d0697adb0882de,527.0,192.74231978071813,2.7201078246429087
0x0195188c4013ae5febe6705100b8c97b7894f5de,52.0,0.0,52.0
0x00f4c30dc02d516712ee7824047604e23970f358,503.2,140.52845791014582,3.5554686840400236
0x00fddf15962fd7a4381e83dc82645cf2a45db33d,104.65,0.0,104.65
0x01af02477a95b254886dffa82f26e9f464505368,466.0,116.75235576881929,3.9574579799905485
0x014d02185b7da9655367dff0cfa528ed755dd402,589.0,247.77061419554957,2.3676429867114788
0x018877b9617b1d4b1760b53c3af4931677a42cf7,364.0,102.89270439015012,3.503614639128695
0x01b78c7937a1d0a922e92aae318f2ae18e9db08a,541.0,108.92764056523173,4.921419191918044
0x027f435daf114317ab8a630e9cfbf7c52465955a,50.0,0.0,50.0
0x01fb3c115c2eb984c8caf69a1da8e4b64f16d0a3,397.0,100.01276418328368,3.930196378743375
0x01b20d8be6a8acf767d7623951f02b11ed75ca3b,100.0,0.0,100.0
0x0149562286fbfa78be52a73fffe55bbd18369e06,57.5,0.0,57.5
0x01f8b9484b95f9e118a5b0593e513bdba47ad7da,101.0,0.0,101.0
0x0162f96ea0ce12581fdc0349ed083cb86a9833f3,512.0,100.16466824901876,5.061055493600811
0x0101e5c4bdfed5e9b77d86a59471e98a493a8990,485.35,149.46650217469465,3.225634895376905
0x021200c44c8761ff786a915d1de5b8f64df46070,68.85,0.0,68.85
0x01402366d9848101f4770d4cddf9b2df3f572760,80.0,0.0,80.0
0x015f1180f1d80a54e9fb844902d8f65727ab0f10,46.75,0.0,46.75
0x01b75b3617088ee8f37f7fc6e020beee84b29a5d,307.0,111.5553903246333,2.7275459586124464
0x00fe6e870ed3e187f47c4e0c42ddd608ad8ae29d,47.0,0.0,47.0
0x01b2cc9aae246a01793e08d9fb7ac11082fcd9c2,86.7,0.0,86.7
0x02ee276520991e638934055fc23846aa107af0f4,61.0,0.0,61.0
0x02a125a4a07526314b174874a5b9d10b00f4f27a,212.0,100.75766365062998,2.0833811665317996
0x025349c3d8f26380db0d74634f41fece5d5c88d4,84.0,0.0,84.0
0x03e839d7f1329c859c796eced60024d07ed9b882,64.4,0.0,64.4
0x032780008a6fa49ba63d6ae30b63f7d4df311e19,47.0,0.0,47.0
0x0373152acdbd89a889bc8829ea9042816357fa87,90.95,0.0,90.95
0x0258dad78f22319f54ff4513a8560e4f656184c7,51.0,0.0,51.0
0x033f68fd9df6bac726e6651e95ac399dbca3dc58,51.75,0.0,51.75
0x037b3abe164596245f99c5104c65ed4fd6259ccd,575.0,199.88705297393813,2.862304919544004
0x02d8acbd6697011932886c316b8a17ff79f32293,65.0,0.0,65.0
0x0310910666aefc15b662078b640504efdb6adada,59.8,0.0,59.8
0x03c3e07233201c582b1d7652632c9219653dec8f,526.15,134.1808273513163,3.8921939620372994
0x020c18c69dc3be4cefc96fdf629c1483bb2eceaf,529.55,137.51548674285365,3.8230382208675358
0x03f0a3e10d249bc5178ee3803cef8efe2d1740f9,107.0,0.0,107.0
0x033eaa302970bf36853352ef804a403ddc65eab9,512.0,130.3307305444538,3.89855441965043
0x0279d68b4a59251da9f84faec66b88f6a4b1f038,630.0,109.16360416481376,5.718767144341688
0x03aa122abab15aa852b1450596dbacd2345317bd,56.0,0.0,56.0
0x031fae4608e2eef60879d94e890bf67a66e89d52,368.9,175.77980069772232,2.086776874642969
0x03ba9b229b3205a550528dbd758f6bd21196a1a1,579.6,121.50097,4.731391106535728
0x024c90e89d8840e6337c88f1f07a567cf5a42f6d,85.85,0.0,85.85
0x0293f6ec26e062e07a88288b76c2777c04ab5054,476.85,100.65963787814788,4.690652160020145
0x03abdb36cec2fd9d9bc83b5a8e84ce770b0583f7,78.0,0.0,78.0
0x034c146f7f5c9229f3d2af742f33d8f7214b0a79,560.0,252.9398894040956,2.205246293971837
0x026cef44938b96a693cd8ccc144b56fae17f556c,48.0,0.0,48.0
0x033cbcb6cd64ff74ca63363d5415ff3a977503c4,426.7,121.76247676583093,3.475817784402713
0x036d98de998a97bb2a6fbda703b18d561bbbe350,77.0,0.0,77.0
0x025b0df3cc536c1c2f50c1aa87cb1942dbf841ac,262.22,106.24440933235888,2.4450691801318944
0x03a4eace55fed31f4b1ebd0c6f771a630451fa2a,69.4,0.0,69.4
0x02a6b52bc4ed38b5183c402ce41ca1657ff692b4,55.25,0.0,55.25
0x026f5f8b2d7a7e55881c92158ca74006de583c33,50.15,0.0,50.15
0x03a2f65a7ad9754f9eaf1ccbc7f874661de9ecaf,237.0,104.48569133668356,2.246750217937674
0x030dff1946806b8d36db64826401db94faa673aa,564.0,125.1025522254391,4.472550238251422
0x039c125dc1a795206478f7902310bdc89251120a,584.0,199.79499148933616,2.9084390784269893
